iter	Logloss	AUC
201	0.3914767244	0.7919704761
202	0.3912553934	0.792203476
203	0.3910831488	0.7924924498
204	0.390840221	0.7929272735
205	0.3908097065	0.7929380677
206	0.3907223763	0.793026423
207	0.3906370984	0.7931402967
208	0.390602874	0.7932095651
209	0.3905463499	0.7933231906
210	0.3905042888	0.793368052
211	0.3902851552	0.7935923632
212	0.3902181746	0.7936054201
213	0.3901788534	0.7936536966
214	0.3901357949	0.7937333737
215	0.3900683634	0.7938003425
216	0.3900208778	0.7938244246
217	0.3898329176	0.79424972
218	0.3896159994	0.7945654768
219	0.3895479255	0.7946903718
220	0.389418995	0.7948099112
221	0.3890030502	0.795418775
222	0.3888865775	0.7955375356
223	0.3888685768	0.7955408991
224	0.3888588856	0.7955551929
225	0.3888185297	0.7955937286
226	0.388730082	0.7956995907
227	0.3887200384	0.7957291089
228	0.3887127192	0.7957330533
229	0.3887124371	0.7957335312
230	0.3886972368	0.7957515159
231	0.3886212716	0.7959468673
232	0.3885766611	0.7960089425
233	0.38857542	0.7960073518
234	0.3884417545	0.7961609466
235	0.3884411571	0.796163856
236	0.3884408131	0.7961634006
237	0.3884383194	0.7961589427
238	0.388437915	0.7961575447
239	0.3884375102	0.7961575579
240	0.3883736996	0.796243747
241	0.3882441076	0.796349419
242	0.3877496192	0.7970922612
243	0.3875113952	0.7974376405
244	0.3874492719	0.7975051901
245	0.3874422183	0.7975166458
246	0.387304594	0.7977252137
247	0.3872618131	0.7977763852
248	0.3872293259	0.7978344936
249	0.387207379	0.7978426094
250	0.3871830629	0.7978730992
251	0.3871829396	0.7978728827
252	0.3870273519	0.7981525486
253	0.3868991294	0.7983350082
254	0.3868935078	0.7983416059
255	0.3868887816	0.7983421498
256	0.3868887642	0.798342155
257	0.3867507311	0.7985394628
258	0.3867196701	0.7985518557
259	0.3866181616	0.7987090687
260	0.3865495754	0.7987953396
261	0.386517479	0.7988157203
262	0.3863423125	0.7990735522
263	0.3863154358	0.7990861312
264	0.3862388405	0.7992677287
265	0.3861396901	0.7994525723
266	0.3860395253	0.7995700524
267	0.3859996945	0.799575111
268	0.3857597144	0.8000609529
269	0.3857018602	0.8001245792
270	0.3856820698	0.8001590966
271	0.3856220404	0.8002695354
272	0.3856054749	0.8001961247
273	0.385580773	0.8002436949
274	0.3855789388	0.8002458176
275	0.3855788546	0.8002458189
276	0.3853156471	0.800560022
