0	56291	203
1	86008	625
2	88537	969
3	92206	1351
4	92804	1705
5	96595	2138
6	96037	2489
7	97274	2892
8	96923	3254
9	96087	3598
10	95054	3930
11	93766	4246
12	93435	4601
13	92601	4929
14	88811	5084
15	87467	5362
16	87098	5694
17	86572	6016
18	85765	6316
19	83781	6519
20	84292	6914
21	82204	7092
22	82242	7447
23	82013	7779
24	81553	8090
25	83504	8649
26	83480	9015
27	84913	9548
28	84652	9898
29	84331	10242
30	84010	10586
31	83687	10930
32	83363	11274
33	82880	11596
34	82481	11929
35	82087	12261
36	82055	12650
37	81654	12982
38	81421	13342
39	81128	13692
40	80667	14014
41	80799	14440
42	80249	14746
43	80144	15134
44	79628	15445
45	79177	15766
46	78678	16077
47	78503	16454
48	78112	16787
49	77675	17109
50	77291	17441
51	77150	17830
52	76718	18152
53	76289	18473
54	75865	18795
55	75795	19206
56	75370	19527
57	75033	19871
58	74589	20186
59	74212	20519
60	73823	20848
61	73489	21192
62	73079	21514
63	72783	21869
64	72449	22213
65	72041	22534
66	71708	22878
67	71285	23193
68	70973	23544
69	70574	23865
70	70177	24187
71	69783	24509
72	69514	24875
73	69255	25245
74	68908	25584
75	68721	25984
76	68327	26305
77	67934	26627
78	67599	26971
79	67215	27295
80	66794	27604
81	66409	27925
82	66050	28258
83	65666	28580
84	65360	28935
85	65027	29279
86	64742	29645
87	64408	29989
88	64050	30321
89	63670	30643
90	63292	30965
91	62892	31276
92	62516	31597
93	62141	31919
94	61767	32241
95	61415	32573
96	61105	32928
97	60713	33239
98	60362	33572
99	60051	33927
100	59662	34238
101	59351	34593
102	59001	34926
103	58633	35247
104	58393	35647
105	58061	35991
106	57676	36302
107	57309	36623
108	56977	36967
109	56686	37338
110	56363	37688
111	56046	38043
112	55697	38376
113	55348	38709
114	54998	39042
115	54635	39364
116	54316	39718
117	53968	40051
118	53649	40406
119	53286	40728
120	53009	41116
121	52647	41438
122	52298	41771
123	51882	42048
124	51589	42425
125	51229	42747
126	50882	43080
127	50509	43390
128	50176	43734
129	49817	44056
130	49459	44378
131	49126	44722
132	48853	45121
133	48507	45454
134	48173	45798
135	47866	46168
136	47527	46508
137	47136	46797
138	46768	47107
139	46391	47406
140	46046	47739
141	45713	48083
142	45369	48416
143	45005	48727
144	44661	49060
145	44308	49381
146	43988	49741
147	43651	50080
148	43308	50413
149	42946	50724
150	42622	51079
151	42270	51400
152	41973	51789
153	41639	52133
154	41304	52477
155	40961	52810
156	40601	53120
157	40317	53531
158	39990	53885
159	39687	54274
160	39392	54673
161	39063	55028
162	38718	55360
163	38351	55661
164	37962	55927
165	37604	56237
166	37262	56570
167	36912	56892
168	36563	57214
169	36276	57636
170	35913	57935
171	35559	58250
172	35221	58590
173	34866	58900
174	34518	59222
175	34183	59566
176	33841	59899
177	33512	60254
178	33170	60587
179	32817	60898
180	32481	61241
181	32146	61585
182	31787	61885
183	31510	62343
184	31172	62683
185	30819	62994
186	30478	63327
187	30126	63637
188	29764	63926
189	29428	64270
190	29103	64636
191	28762	64969
192	28416	65290
193	28071	65612
194	27735	65956
195	27390	66278
196	27041	66589
197	26705	66933
198	26365	67265
199	26025	67598
200	25689	67942
201	25378	68353
202	25066	68763
203	24737	69129
204	24419	69528
205	24076	69854
206	23738	70198
207	23397	70531
208	23070	70908
209	22740	71275
210	22405	71629
211	22064	71962
212	21744	72369
213	21400	72695
214	21062	73038
215	20731	73411
216	20431	73893
217	20100	74270
218	19752	74581
219	19409	74913
220	19075	75280
221	18732	75612
222	18387	75934
223	18037	76234
224	17692	76555
225	17350	76888
226	17006	77210
227	16667	77554
228	16323	77875
229	15969	78148
230	15629	78486
231	15287	78813
232	14948	79157
233	14597	79435
234	14261	79795
235	13910	80067
236	13560	80344
237	13212	80627
238	12866	80921
239	12517	81192
240	12174	81499
241	11843	81887
242	11503	82213
243	11161	82524
244	10827	82896
245	10491	83251
246	10151	83584
247	9814	83928
248	9468	84205
249	9125	84494
250	8785	84816
251	8445	85131
252	8110	85497
253	7769	85796
254	7428	86107
255	7087	86395
256	6745	86673
257	6407	87010
258	6069	87334
259	5730	87638
260	5392	87966
261	5054	88277
262	4717	88614
263	4379	88947
264	4043	89302
265	3706	89635
266	3369	89972
267	3033	90345
268	2696	90667
269	2358	90988
270	2021	91299
271	1684	91621
272	1346	91931
273	1010	92275
274	673	92575
275	336	92863
276	0	93174
